game-design.game-feel.combat | ~ | How attacking and being hit feels: impact, weight, feedback.
publishing.monetisation-practice.paying-only-shortens-the-grind | ~ | Real money buys speed - a booster, a skipped build timer, the item bought outright - and nothing a free player
publishing.monetisation-practice.what-you-can-own-is-capped-unless-you-pay | - | A free player can hold only so many characters, weapons or items at once, and the only way to raise the ceilin
community.social-features.the-player-market-works | + | Players buy, sell and trade with each other inside the game, and the reviewer names the market as a thing that
live-ops.patch-quality.drifted-from-what-it-was | - | Years of updates carried the game away from the identity that drew the player - the fiction, the fantasy, the 
review.carries-the-reviewers-referral-link | ~ | The review carries the reviewer's own sign-up or referral link, which pays the reviewer when a reader uses it.
community.social-features.the-clan-hall-is-worth-building | + | The game gives a group a persistent home of its own - a guild, a clan, a dojo - that the players build, decora
engineering.access.locked-out-of-my-own-account | - | The player has an account with hours and money in it and can no longer get into it - a login that is refused, 
publishing.monetisation-practice.the-shop-charges-far-too-much | - | The studio's own store prices its items far above what the player thinks they are worth - a skin priced like a
game-design.progression.unlock-pace.timed-events-give-a-reason-to-log-in | + | Time-limited missions or events with their own rewards give the player a reason to come back today, and the re
art.fidelity.the-picture-is-blurry | - | The image on screen is soft, fuzzy or smeared - blurred textures, a post-process the player cannot turn off, a
publishing.monetisation-practice.the-premium-currency-cannot-be-earned-by-playing | - | The currency the shop takes is only sold for money; playing never pays any out, or so little that the reviewer
publishing.monetisation-practice.colours-and-basic-cosmetics-cost-real-money | - | The plainest ways to change how your character looks - a colour, a palette, an accessory - are sold for money,
game-design.replayability.warns-that-it-takes-over-your-life | - | The reviewer says the game's pull is a harm, not a compliment - they warn readers with a game addiction away f
live-ops.update-cadence.updating-eats-the-play-session | - | The patches arrive so often, or download so slowly, that the time the player set aside to play goes to updatin
community.culture.veterans-will-not-help-newcomers | - | The established players will not take, teach or tolerate a new one - they refuse a request for help, keep thei
game-design.progression.unlock-pace.you-grind-for-gear-you-will-never-use | - | The player spends the grind on a weapon or frame that turns out too weak to use, or that exists only to be lev
marketing.reputation.judges-the-studio-by-its-country | - | The reviewer extends the verdict past the studio to the country it works in, and tells readers to choose games
accessibility.memory-and-attention.a-player-with-a-named-condition-says-it-works | + | The reviewer names a cognitive or neurological condition - their own or a player they know - and says the game
narrative.story.told-during-the-fighting-so-it-is-lost | - | Lore, logs or story dialogue play while the player is fighting, so they cannot take them in. **Distinct from `
game-design.game-feel.controls.aim-assist-helps | + | The reviewer says the game's aim assistance works and makes aiming better. **Distinct from `.input-tuning-full
accessibility.vision.flashing-that-endangers-photosensitive-players | - | The reviewer warns that the flashing, strobing or exploding effects are a risk for players with epilepsy or li
accessibility.vision.the-motion-sickness-options-miss-some-of-it | - | The game has settings against motion sickness, and the reviewer names camera moves they do not cover. **Distin
game-design.ai-teammates.a-living-bot-does-not-keep-the-mission-alive | - | The mission fails when the human players are down even though an AI teammate is still standing, so the bot can
art.atmosphere.too-many-enemies-to-keep-the-mystery | - | The place is so full of enemies that the unease or mystery the setting promised is gone; the reviewer says few
game-design.world-interaction.the-hub-feels-empty | - | The place between missions feels empty or lifeless, with no cause named. **Distinct from `.the-people-in-the-h
game-design.ui-ux.the-game-outlines-every-enemy-for-you | - | The game marks the enemies for the player - a free tracker, a coloured dot, a silhouette when aiming - and the
art.character-design.embarrassing-to-have-on-screen-around-others | - | The reviewer will not play with family or others in the room because of how the characters look. **Distinct fr
